Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.100.1.44-192.58.128.30-52009-53-17,10.100.1.44,52009,192.58.128.30,53,17,15/12/2022 02:49:04 上午,3530,2,0,84.0,0.0,42.0,42.0,42.0,0.0,0,0,0,0,23796.033994334277,566.5722379603399,3530.0,0.0,3530.0,3530.0,3530.0,3530.0,0.0,3530.0,3530.0,0,0,0,0,0,0,0,0,0,16,0,566.5722379603399,0.0,42.0,42.0,42.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,42.0,0.0,0,0,0,0,0,0,1,42,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
49.247.213.246-192.168.21.85-48484-80-6,49.247.213.246,48484,192.168.21.85,80,6,15/12/2022 07:54:39 上午,190860,3,4,258.0,349.0,258.0,0.0,86.0,148.95636945092346,349.0,0.0,87.25,174.5,3180.34161165252,36.67609766320864,31810.0,68852.16503495006,172169.0,0.0,186168.0,93084.0,117299.11550391163,176027.0,10141.0,187002.0,62334.0,107074.88738261648,185972.0,0.0,0,0,0,0,104,136,15.718327569946558,20.957770093262077,0.0,349.0,75.875,142.58274539969514,20329.839285714286,1,2,0,2,6,0,0,0,1.0,86.71428571428571,86.0,87.25,0,0,0,0,0,0,0,36,0,49,29200,122,1,32,0,0,0,0,1.6710620792469138E15,83070.07962450247,1.671062079295848E15,1.671062079122649E15,No Label
49.247.213.246-192.168.21.98-21706-80-6,49.247.213.246,21706,192.168.21.98,80,6,15/12/2022 07:54:39 上午,185966,3,4,248.0,367.0,248.0,0.0,82.66666666666667,143.1828667590272,367.0,0.0,91.75,183.49999999999997,3307.0561285396257,37.6412892679307,30994.333333333332,73147.34755728785,180300.0,1.0,183260.0,91630.0,127909.95986239695,182076.0,1184.0,184190.0,61396.66666666667,105483.34664928551,183197.0,1.0,0,0,0,0,104,136,16.131981114827443,21.509308153103255,0.0,367.0,76.875,145.8545630805858,21273.553571428576,1,2,0,2,6,0,0,0,1.0,87.85714285714286,82.66666666666667,91.75,0,0,0,0,0,0,0,35,0,52,29200,235,1,32,0,0,0,0,1.6710620792543252E15,89927.45546080192,1.671062079300752E15,1.67106207911946E15,No Label
192.168.21.72-49.247.213.246-80-42946-6,192.168.21.72,80,49.247.213.246,42946,6,15/12/2022 07:54:39 上午,186138,2,0,367.0,0.0,367.0,0.0,183.5,259.50818869546293,0,0,0,0,1971.6554384381482,10.744716285766474,186138.0,0.0,186138.0,186138.0,186138.0,186138.0,0.0,186138.0,186138.0,0,0,0,0,0,0,0,0,0,72,0,10.744716285766474,0.0,0.0,367.0,122.33333333333333,211.88754879259264,44896.33333333333,1,1,0,0,2,0,0,0,0.0,183.5,183.5,0.0,0,0,0,0,0,0,1,183,0,0,28960,0,1,32,0,0,0,0,0,0,0,0,No Label
49.247.213.246-192.168.21.241-19099-80-6,49.247.213.246,19099,192.168.21.241,80,6,15/12/2022 07:54:39 上午,192913,3,2,252.0,492.0,252.0,0.0,84.0,145.4922678357857,492.0,0.0,246.0,347.8965363437814,3856.6607745460387,25.918419183777143,48228.25,90709.58218172616,184271.0,609.0,188668.0,94334.0,132547.16613341833,188059.0,609.0,189125.0,189125.0,0.0,189125.0,189125.0,0,0,0,0,104,72,15.551051510266285,10.367367673510858,0.0,492.0,124.0,206.54878358392722,42662.4,1,2,0,2,4,0,0,0,0.0,148.8,84.0,246.0,0,0,0,0,0,0,0,50,0,98,29200,259,1,32,0,0,0,0,1.671062079211923E15,127190.12515914904,1.67106207930186E15,1.671062079121986E15,No Label
49.247.213.246-192.168.22.35-48305-80-6,49.247.213.246,48305,192.168.22.35,80,6,15/12/2022 07:54:39 上午,190725,3,4,220.0,1444.0,220.0,0.0,73.33333333333333,127.01705922171766,1444.0,0.0,361.0,722.0,8724.603486695503,36.702057936820026,31787.500000000004,74648.25306663245,184156.0,1.0,187282.0,93641.0,130660.60524121263,186032.0,1250.0,188849.0,62949.66666666667,107668.31653431446,187271.0,1.0,0,0,0,0,104,136,15.729453401494297,20.97260453532573,0.0,1444.0,207.99999999999997,505.3180045419772,255346.28571428568,1,2,0,1,6,0,0,0,1.0,237.71428571428572,73.33333333333333,361.0,0,0,0,0,0,0,0,31,0,206,29200,235,1,32,0,0,0,0,1.6710620792616295E15,91944.70143531662,1.671062079309479E15,1.671062079123746E15,No Label
49.247.213.246-192.168.99.143-10612-80-6,49.247.213.246,10612,192.168.99.143,80,6,15/12/2022 07:54:39 上午,192924,3,3,195.0,0.0,195.0,0.0,65.0,112.58330249197702,0.0,0.0,0.0,0.0,1010.760714063569,31.10032966349443,38584.8,81351.11980913354,184079.0,1.0,189140.0,94570.0,132101.6888612708,187980.0,1160.0,189023.0,94511.5,133658.0308866624,189022.0,1.0,0,0,0,0,104,104,15.550164831747216,15.550164831747216,0.0,195.0,27.857142857142858,73.7030722367993,5432.142857142857,1,2,0,1,5,0,0,0,1.0,32.5,65.0,0.0,0,0,0,0,0,0,0,32,0,0,29200,122,1,32,0,0,0,0,1.6710620792475248E15,105644.15505522932,1.67106207931232E15,1.671062079125618E15,No Label
192.168.21.108-49.247.213.246-80-54716-6,192.168.21.108,80,49.247.213.246,54716,6,15/12/2022 07:54:38 上午,851915,94,0,132298.0,0.0,1444.0,0.0,1407.4255319148938,213.16955184954426,0,0,0,0,155294.83575239315,110.3396465609832,9160.37634408602,40417.00290205951,225867.0,0.0,851915.0,9160.37634408602,40417.00290205951,225867.0,0.0,0,0,0,0,0,0,0,0,0,3016,0,110.3396465609832,0.0,0.0,1444.0,1392.610526315789,256.5323709297258,65808.85733482643,1,1,0,0,94,0,0,0,0.0,1407.4255319148936,1407.4255319148936,0.0,0,0,0,0,92,238756,1,1407,0,0,28960,0,92,32,0,0,0,0,1.6710620790852975E15,181995.92410319753,1.671062079315505E15,1.671062078535529E15,No Label
49.247.213.246-192.168.22.94-37145-80-6,49.247.213.246,37145,192.168.22.94,80,6,15/12/2022 07:54:39 上午,226813,3,4,247.0,278.0,247.0,0.0,82.33333333333333,142.60551648983756,278.0,0.0,69.5,139.0,2314.682139030832,30.86242852041109,37802.16666666667,85149.54786119927,211503.0,1.0,223216.0,111608.0,146207.05493238007,214992.0,8224.0,223324.0,74441.33333333334,128934.43946569641,223322.0,1.0,0,0,0,0,104,136,13.226755080176181,17.635673440234907,0.0,278.0,65.625,121.79600920039563,14834.267857142857,1,2,0,2,6,0,0,0,1.0,75.0,82.33333333333333,69.5,0,0,0,0,0,0,0,35,0,39,29200,235,1,32,0,0,0,0,1.671062079285905E15,103140.53429235688,1.671062079342867E15,1.671062079131363E15,No Label
49.247.213.246-192.168.21.85-48484-80-6,49.247.213.246,48484,192.168.21.85,80,6,15/12/2022 07:54:39 上午,1032,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1937.9844961240312,1032.0,0.0,1032.0,1032.0,1032.0,1032.0,0.0,1032.0,1032.0,0,0,0,0,0,0,0,0,0,64,0,1937.9844961240312,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,237,0,0,32,0,0,0,0,0,0,0,0,No Label
