Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.100.1.44-192.5.5.241-63448-53-17,10.100.1.44,63448,192.5.5.241,53,17,22/12/2022 02:20:19 下午,1762,2,0,72.0,0.0,36.0,36.0,36.0,0.0,0,0,0,0,40862.65607264473,1135.0737797956867,1762.0,0.0,1762.0,1762.0,1762.0,1762.0,0.0,1762.0,1762.0,0,0,0,0,0,0,0,0,0,16,0,1135.0737797956867,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,36.0,0.0,0,0,0,0,0,0,1,36,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-193.0.14.129-6103-53-17,10.100.1.44,6103,193.0.14.129,53,17,22/12/2022 02:20:25 下午,3288,2,0,72.0,0.0,36.0,36.0,36.0,0.0,0,0,0,0,21897.810218978102,608.272506082725,3288.0,0.0,3288.0,3288.0,3288.0,3288.0,0.0,3288.0,3288.0,0,0,0,0,0,0,0,0,0,16,0,608.272506082725,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,36.0,0.0,0,0,0,0,0,0,1,36,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-192.5.5.241-16426-53-17,10.100.1.44,16426,192.5.5.241,53,17,22/12/2022 02:20:19 下午,2530,2,0,72.0,0.0,36.0,36.0,36.0,0.0,0,0,0,0,28458.498023715412,790.5138339920949,2530.0,0.0,2530.0,2530.0,2530.0,2530.0,0.0,2530.0,2530.0,0,0,0,0,0,0,0,0,0,16,0,790.5138339920949,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,36.0,0.0,0,0,0,0,0,0,1,36,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-202.12.27.33-16063-53-17,10.100.1.44,16063,202.12.27.33,53,17,22/12/2022 02:20:27 下午,3415,2,0,72.0,0.0,36.0,36.0,36.0,0.0,0,0,0,0,21083.455344070277,585.6515373352855,3415.0,0.0,3415.0,3415.0,3415.0,3415.0,0.0,3415.0,3415.0,0,0,0,0,0,0,0,0,0,16,0,585.6515373352855,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,36.0,0.0,0,0,0,0,0,0,1,36,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-199.7.83.42-29402-53-17,10.100.1.44,29402,199.7.83.42,53,17,22/12/2022 02:20:18 下午,3435136,4,2,202.0,2392.0,65.0,36.0,50.5,16.743157806499145,1196.0,1196.0,1196.0,0.0,755.137496739576,1.7466557364832136,687027.2000000001,1528925.4340463108,3422049.0,1868.0,3425836.0,1141945.3333333335,1974627.6987600303,3422049.0,1868.0,2002.0,2002.0,0.0,2002.0,2002.0,0,0,0,0,32,16,1.1644371576554757,0.5822185788277379,36.0,1196.0,375.7142857142857,560.5118833963928,314173.5714285714,0,0,0,0,0,0,0,0,0.0,438.3333333333333,50.5,1196.0,0,0,0,0,4,224797,0,33,0,398,0,0,3,8,0,0,0,0,1.6716900214648222E15,1711627.6709504186,1.671690022324815E15,1.671690018897387E15,No Label
10.100.1.44-199.7.83.42-21139-53-17,10.100.1.44,21139,199.7.83.42,53,17,22/12/2022 02:20:18 下午,2059,2,0,72.0,0.0,36.0,36.0,36.0,0.0,0,0,0,0,34968.43127731908,971.3453132588635,2059.0,0.0,2059.0,2059.0,2059.0,2059.0,0.0,2059.0,2059.0,0,0,0,0,0,0,0,0,0,16,0,971.3453132588635,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,36.0,0.0,0,0,0,0,0,0,1,36,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-193.0.14.129-7197-53-17,10.100.1.44,7197,193.0.14.129,53,17,22/12/2022 02:20:25 下午,3596,2,0,72.0,0.0,36.0,36.0,36.0,0.0,0,0,0,0,20022.246941045607,556.1735261401558,3596.0,0.0,3596.0,3596.0,3596.0,3596.0,0.0,3596.0,3596.0,0,0,0,0,0,0,0,0,0,16,0,556.1735261401558,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,36.0,0.0,0,0,0,0,0,0,1,36,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-202.12.27.33-55066-53-17,10.100.1.44,55066,202.12.27.33,53,17,22/12/2022 02:20:27 下午,3786,2,0,72.0,0.0,36.0,36.0,36.0,0.0,0,0,0,0,19017.43264659271,528.2620179609087,3786.0,0.0,3786.0,3786.0,3786.0,3786.0,0.0,3786.0,3786.0,0,0,0,0,0,0,0,0,0,16,0,528.2620179609087,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,36.0,0.0,0,0,0,0,0,0,1,36,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
