Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.99.16-114.114.114.114-8148-53-17,192.168.99.16,8148,114.114.114.114,53,17,22/12/2022 04:20:52 下午,648,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,126543.2098765432,3086.4197530864194,648.0,0.0,648.0,648.0,648.0,648.0,0.0,648.0,648.0,0,0,0,0,0,0,0,0,0,16,0,3086.4197530864194,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-110.43.83.56-16836-53-17,192.168.99.16,16836,110.43.83.56,53,17,22/12/2022 04:09:05 下午,246,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,333333.3333333333,8130.081300813007,246.0,0.0,246.0,246.0,246.0,246.0,0.0,246.0,246.0,0,0,0,0,0,0,0,0,0,16,0,8130.081300813007,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
172.16.130.18-10.100.1.44-62806-53-17,172.16.130.18,62806,10.100.1.44,53,17,22/12/2022 04:20:43 下午,10008737,6,2,222.0,74.0,37.0,37.0,37.0,0.0,37.0,37.0,37.0,0.0,29.57416105548582,0.7993016501482655,1429819.5714285716,1811268.9381883498,4012678.0,3240.0,7030653.0,1406130.6,1953147.1656879315,4012678.0,3360.0,3240.0,3240.0,0.0,3240.0,3240.0,0,0,0,0,48,16,0.5994762376111991,0.19982541253706637,37.0,37.0,37.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,41.625,37.0,37.0,0,0,0,0,0,0,0,27,0,9,0,0,5,8,0,0,0,0,1.6716972481204145E15,3635330.870465458,1.671697253107041E15,1.671697243112273E15,No Label
192.168.99.16-203.119.25.1-29362-53-17,192.168.99.16,29362,203.119.25.1,53,17,22/12/2022 04:41:04 下午,404,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,202970.29702970295,4950.495049504951,404.0,0.0,404.0,404.0,404.0,404.0,0.0,404.0,404.0,0,0,0,0,0,0,0,0,0,16,0,4950.495049504951,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-114.114.114.114-49305-53-17,192.168.99.16,49305,114.114.114.114,53,17,22/12/2022 04:41:05 下午,409,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,200488.9975550122,4889.975550122249,409.0,0.0,409.0,409.0,409.0,409.0,0.0,409.0,409.0,0,0,0,0,0,0,0,0,0,16,0,4889.975550122249,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
172.20.152.2-192.168.99.16-54264-53-17,172.20.152.2,54264,192.168.99.16,53,17,22/12/2022 04:21:51 下午,33254,2,2,62.0,94.0,31.0,31.0,31.0,0.0,47.0,47.0,47.0,0.0,4691.164972634871,120.28628134961208,11084.666666666668,18916.150674313558,32927.0,92.0,92.0,92.0,0.0,92.0,92.0,235.0,235.0,0.0,235.0,235.0,0,0,0,0,16,16,60.14314067480604,60.14314067480604,31.0,47.0,37.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,46.75,31.0,47.0,0,0,0,0,4,4691,0,15,0,23,0,0,1,8,0,0,0,0,1.671697311829965E15,23051.68106668145,1.671697311846265E15,1.671697311813665E15,No Label
10.100.1.44-199.7.91.13-51563-53-17,10.100.1.44,51563,199.7.91.13,53,17,22/12/2022 04:22:34 下午,3324,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,28880.86642599278,601.6847172081829,3324.0,0.0,3324.0,3324.0,3324.0,3324.0,0.0,3324.0,3324.0,0,0,0,0,0,0,0,0,0,16,0,601.6847172081829,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-36.110.213.6-47359-53-17,192.168.99.16,47359,36.110.213.6,53,17,22/12/2022 04:22:49 下午,149,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,644295.3020134228,13422.818791946309,149.0,0.0,149.0,149.0,149.0,149.0,0.0,149.0,149.0,0,0,0,0,0,0,0,0,0,16,0,13422.818791946309,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-192.112.36.4-42558-53-17,10.100.1.44,42558,192.112.36.4,53,17,22/12/2022 03:39:56 下午,3319,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,28924.374811690268,602.591141910214,3319.0,0.0,3319.0,3319.0,3319.0,3319.0,0.0,3319.0,3319.0,0,0,0,0,0,0,0,0,0,16,0,602.591141910214,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-114.114.114.114-31449-53-17,192.168.99.16,31449,114.114.114.114,53,17,22/12/2022 04:22:47 下午,349,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,275071.63323782233,5730.659025787965,349.0,0.0,349.0,349.0,349.0,349.0,0.0,349.0,349.0,0,0,0,0,0,0,0,0,0,16,0,5730.659025787965,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-203.119.25.1-36549-53-17,192.168.99.16,36549,203.119.25.1,53,17,22/12/2022 04:09:02 下午,400,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,205000.0,5000.0,400.0,0.0,400.0,400.0,400.0,400.0,0.0,400.0,400.0,0,0,0,0,0,0,0,0,0,16,0,5000.0,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-111.202.126.2-37173-53-17,192.168.99.16,37173,111.202.126.2,53,17,22/12/2022 04:20:59 下午,90,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,911111.111111111,22222.222222222223,90.0,0.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,0,0,0,0,0,0,0,0,0,16,0,22222.222222222223,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-111.202.126.2-34776-53-17,192.168.99.16,34776,111.202.126.2,53,17,22/12/2022 04:41:08 下午,548,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,149635.03649635037,3649.6350364963505,548.0,0.0,548.0,548.0,548.0,548.0,0.0,548.0,548.0,0,0,0,0,0,0,0,0,0,16,0,3649.6350364963505,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
172.20.157.47-192.168.99.16-1528-53-17,172.20.157.47,1528,192.168.99.16,53,17,22/12/2022 04:07:46 下午,215831,2,2,54.0,86.0,27.0,27.0,27.0,0.0,43.0,43.0,43.0,0.0,648.6556611422826,18.533018889779505,71943.66666666666,123676.80310524417,214753.0,270.0,808.0,808.0,0.0,808.0,808.0,270.0,270.0,0.0,270.0,270.0,0,0,0,0,16,16,9.266509444889753,9.266509444889753,27.0,43.0,33.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,41.75,27.0,43.0,0,0,0,0,4,648,0,13,0,21,0,0,1,8,0,0,0,0,1.6716964664055225E15,151091.04147003553,1.67169646651236E15,1.671696466298685E15,No Label
192.168.99.16-42.236.105.6-20158-53-17,192.168.99.16,20158,42.236.105.6,53,17,22/12/2022 04:22:31 下午,181,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,530386.7403314917,11049.723756906076,181.0,0.0,181.0,181.0,181.0,181.0,0.0,181.0,181.0,0,0,0,0,0,0,0,0,0,16,0,11049.723756906076,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-42.236.105.6-25775-53-17,192.168.99.16,25775,42.236.105.6,53,17,22/12/2022 04:44:31 下午,352,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,272727.2727272727,5681.818181818182,352.0,0.0,352.0,352.0,352.0,352.0,0.0,352.0,352.0,0,0,0,0,0,0,0,0,0,16,0,5681.818181818182,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-14.18.240.48-43989-53-17,192.168.99.16,43989,14.18.240.48,53,17,22/12/2022 04:20:57 下午,699,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,117310.443490701,2861.230329041488,699.0,0.0,699.0,699.0,699.0,699.0,0.0,699.0,699.0,0,0,0,0,0,0,0,0,0,16,0,2861.230329041488,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-119.29.29.29-20434-53-17,192.168.99.16,20434,119.29.29.29,53,17,22/12/2022 04:08:35 下午,565,2,0,80.0,0.0,40.0,40.0,40.0,0.0,0,0,0,0,141592.9203539823,3539.823008849558,565.0,0.0,565.0,565.0,565.0,565.0,0.0,565.0,565.0,0,0,0,0,0,0,0,0,0,16,0,3539.823008849558,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,0,0,0,0,0,0,1,40,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
