Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
58.223.164.7-172.19.24.99-443-63386-6,58.223.164.7,443,172.19.24.99,63386,6,16/10/2022 04:15:25 下午,181108,4,1,280,0,246,0,70,118.4229707,0,0,0,0,1546.038828,27.60783621,45277,90188.37132,180559,0,181108,60369.33333,104562.7526,181108,0,0,0,0,0,0,0,0,0,0,80,20,22.08626897,5.521567242,0,246,46.66666667,98.59546981,9721.066667,1,0,1,2,5,0,0,0,0,56,70,0,0,0,0,0,0,0,0,56,0,0,501,0,2,20,0,0,0,0,1.67E+15,388.2016229,1.67E+15,1.67E+15,No Label
58.223.164.7-172.19.24.99-443-63384-6,58.223.164.7,443,172.19.24.99,63384,6,16/10/2022 04:15:25 下午,194389,3,1,2,0,1,0,0.666666667,0.577350269,0,0,0,0,10.28864802,20.57729604,64796.33333,111960.4502,194077,0,194389,97194.5,137453.7801,194389,0,0,0,0,0,0,1,0,0,0,60,32,15.43297203,5.14432401,0,1,0.6,0.547722558,0.3,1,0,0,2,4,0,0,0,0,0.75,0.666666667,0,0,0,0,0,0,0,0,0,0,0,501,511,1,20,0,0,0,0,1.67E+15,0,1.67E+15,1.67E+15,No Label
58.223.164.7-172.19.24.99-443-63383-6,58.223.164.7,443,172.19.24.99,63383,6,16/10/2022 04:15:25 下午,173787,2,1,1,0,1,0,0.5,0.707106781,0,0,0,0,5.754170335,17.262511,86893.5,122675.2484,173638,149,173787,173787,0,173787,173787,0,0,0,0,0,1,0,0,0,40,32,11.50834067,5.754170335,0,1,0.5,0.577350269,0.333333333,1,0,0,1,3,0,0,0,0,0.666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,501,511,0,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-223.240.5.211-63340-10443-6,172.19.24.99,63340,223.240.5.211,10443,6,16/10/2022 04:15:32 下午,187504,2,0,1,0,1,0,0.5,0.707106781,0,0,0,0,5.333219558,10.66643912,187504,0,187504,187504,187504,187504,0,187504,187504,0,0,0,0,0,0,0,0,0,40,0,10.66643912,0,0,1,0.666666667,0.577350269,0.333333333,1,0,0,0,2,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,16416,0,0,20,0,0,0,0,0,0,0,0,No Label
223.240.5.211-172.19.24.99-10443-63340-6,223.240.5.211,10443,172.19.24.99,63340,6,16/10/2022 04:15:33 下午,218264,2,0,0,0,0,0,0,0,0,0,0,0,0,9.163215189,218264,0,218264,218264,218264,218264,0,218264,218264,0,0,0,0,0,0,0,0,0,52,0,9.163215189,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,178,0,0,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-20.50.201.200-63359-443-6,172.19.24.99,63359,20.50.201.200,443,6,16/10/2022 04:15:39 下午,312741,1,1,0,0,0,0,0,0,0,0,0,0,0,6.395068123,312741,0,312741,312741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.197534062,3.197534062,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,2053,0,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-180.163.222.149-63394-80-6,172.19.24.99,63394,180.163.222.149,80,6,16/10/2022 04:15:45 下午,569462,4,5,1060,562,778,0,265,366.9277858,557,0,112.4,248.5483856,2848.302433,15.80439081,71182.75,109655.7985,261621,0,484219,161406.3333,141026.0362,262343,271,348116,87029,123581.2023,262151,0,0,0,0,0,92,108,7.024173694,8.780217117,0,778,162.2,285.1887484,81332.62222,1,2,0,4,8,0,0,0,1,180.2222222,265,112.4,0,0,0,0,4,4666,0,117,0,62,64240,501,2,20,0,0,0,0,1.67E+15,217379.6741,1.67E+15,1.67E+15,No Label
172.19.24.99-122.228.255.206-63229-443-6,172.19.24.99,63229,122.228.255.206,443,6,16/10/2022 04:16:01 下午,106,2,0,24,0,24,0,12,16.97056275,0,0,0,0,226415.0943,18867.92453,106,0,106,106,106,106,0,106,106,0,0,0,0,0,1,0,0,0,40,0,18867.92453,0,0,24,16,13.85640646,192,1,0,0,1,2,0,0,0,0,24,12,0,0,0,0,0,0,0,1,12,0,0,4151,0,0,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-122.228.255.206-63214-443-6,172.19.24.99,63214,122.228.255.206,443,6,16/10/2022 04:16:01 下午,142,2,0,24,0,24,0,12,16.97056275,0,0,0,0,169014.0845,14084.50704,142,0,142,142,142,142,0,142,142,0,0,0,0,0,1,0,0,0,40,0,14084.50704,0,0,24,16,13.85640646,192,1,0,0,1,2,0,0,0,0,24,12,0,0,0,0,0,0,0,1,12,0,0,1026,0,0,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-122.228.255.206-63214-443-6,172.19.24.99,63214,122.228.255.206,443,6,16/10/2022 04:16:01 下午,580039,2,0,48,0,24,24,24,0,0,0,0,0,82.75305626,3.448044011,580039,0,580039,580039,580039,580039,0,580039,580039,0,0,0,0,0,1,0,0,0,40,0,3.448044011,0,24,24,24,0,0,2,0,0,2,2,0,0,0,0,36,24,0,0,0,0,0,0,0,1,24,0,0,1026,0,1,20,0,0,0,0,0,0,0,0,No Label
